,student_id,checkpoint_no,duration,confidence,year,percentage_checkpoint,no_attempt,average_attempt,office_hours,is_passed
2451,88774,13,1.0,9,1,0.5416666666666666,0,1.25,0,1
2452,12461,13,,10,1,0.5416666666666666,0,1.4166666666666667,0,1
2453,22902,13,2.0,8,1,0.75,1,1.8888888888888888,1,0
2454,72329,13,3.0,7,2,0.5,1,1.6666666666666667,0,0
2455,52262,13,-1.0,-1,-1,0.5,0,1.8333333333333333,3,0
2456,31846,13,1.0,8,1,0.5416666666666666,1,1.1666666666666667,0,1
2457,72329,13,3.0,7,2,0.5,2,1.6666666666666667,0,0
2458,72329,13,3.0,7,2,0.5416666666666666,3,1.6666666666666667,0,1
2459,27689,13,3.0,6,2,0.5416666666666666,1,1.4166666666666667,0,1
2460,80427,13,3.0,5,2,0.4583333333333333,1,1.7,0,1
2461,96812,13,-1.0,-1,-1,0.2916666666666667,1,1.2857142857142858,0,0
2462,52262,13,-1.0,-1,-1,0.5416666666666666,1,1.8333333333333333,4,1
2463,90795,13,-1.0,-1,-1,0.4166666666666667,1,2.0,0,1
2464,14313,13,2.0,8,2,0.5,1,1.25,0,0
2465,60320,13,3.0,6,1,0.4166666666666667,1,1.4,0,0
2466,75538,13,1.0,8,1,0.5,1,1.6363636363636365,0,1
2467,60320,13,3.0,6,1,0.4166666666666667,2,1.4,0,0
2468,31208,14,-1.0,-1,-1,0.5833333333333334,0,2.0,1,1
2469,93871,14,2.0,2,2,0.5833333333333334,0,1.2307692307692308,0,1
2470,20020,14,-1.0,-1,-1,0.5833333333333334,0,1.1538461538461537,1,1
2471,80450,14,1.0,7,4,0.5833333333333334,0,1.1538461538461537,0,1
2472,90795,14,-1.0,-1,-1,0.4166666666666667,0,2.0,0,0
2473,87728,14,5.0,7,2,0.5833333333333334,0,1.1538461538461537,0,1
2474,72329,14,3.0,7,2,0.5833333333333334,0,1.8461538461538463,0,1
2475,95538,14,-1.0,-1,-1,0.5833333333333334,0,1.1538461538461537,0,1
2476,31846,14,1.0,8,1,0.5833333333333334,0,1.2307692307692308,0,1
2477,93570,14,-1.0,-1,-1,0.5,0,1.4166666666666667,2,0
2478,12461,14,,10,1,0.5833333333333334,0,1.3846153846153846,0,1
2479,96812,14,-1.0,-1,-1,0.3333333333333333,0,1.2857142857142858,0,1
2480,14313,14,2.0,8,2,0.5416666666666666,0,1.25,0,1
2481,82536,14,4.0,8,3,0.5833333333333334,0,1.3076923076923077,0,1
2482,75538,14,1.0,8,1,0.5416666666666666,0,1.6666666666666667,0,1
2483,60320,14,3.0,6,1,0.4166666666666667,0,1.4,0,0
2484,27689,14,3.0,6,2,0.5416666666666666,0,1.4615384615384615,0,0
2485,80427,14,3.0,5,2,0.4583333333333333,0,1.7272727272727273,0,0
2486,52262,14,-1.0,-1,-1,0.5833333333333334,0,1.8461538461538463,3,1
2487,69983,14,,8,1,0.5,0,1.1818181818181819,0,1
2488,84281,14,,4,3,0.5833333333333334,0,1.1538461538461537,0,1
2489,22902,14,2.0,8,1,0.75,1,1.8888888888888888,1,1
2490,93335,14,3.0,7,3,0.5,0,1.3636363636363635,0,1
2491,30574,14,4.0,10,2,0.5,0,1.1818181818181819,0,1
2492,59566,14,-1.0,-1,-1,0.5416666666666666,0,1.25,1,1
2493,88774,14,1.0,9,1,0.5833333333333334,0,1.2307692307692308,0,1
2494,93570,14,-1.0,-1,-1,0.5416666666666666,1,1.4166666666666667,2,1
2495,27689,14,3.0,6,2,0.5416666666666666,1,1.4615384615384615,0,0
2496,27689,14,3.0,6,2,0.5833333333333334,2,1.4615384615384615,0,1
2497,80427,14,3.0,5,2,0.5,1,1.7272727272727273,0,1
2498,90795,14,-1.0,-1,-1,0.4583333333333333,1,2.0,0,1
2499,60320,14,3.0,6,1,0.4166666666666667,1,1.4,0,0
2500,93871,15,2.0,2,2,0.625,0,1.2142857142857142,0,1
2501,90795,15,-1.0,-1,-1,0.5,0,2.0,0,1
2502,72329,15,3.0,7,2,0.5833333333333334,0,1.7857142857142858,0,0
2503,87728,15,5.0,7,2,0.5833333333333334,0,1.1428571428571428,0,0
2504,31208,15,-1.0,-1,-1,0.625,0,1.9285714285714286,1,1
2505,95538,15,-1.0,-1,-1,0.625,0,1.1428571428571428,0,1
2506,20020,15,-1.0,-1,-1,0.625,0,1.1428571428571428,2,1
2507,93570,15,-1.0,-1,-1,0.5833333333333334,0,1.4615384615384615,2,1
2508,31846,15,1.0,8,1,0.5833333333333334,0,1.2142857142857142,0,0
2509,96812,15,-1.0,-1,-1,0.375,0,1.25,0,1
2510,30574,15,4.0,10,2,0.5,0,1.1666666666666667,0,0
2511,80450,15,1.0,7,4,0.625,0,1.1428571428571428,0,1
2512,12461,15,,10,1,0.625,0,1.3571428571428572,0,1
2513,69983,15,,8,1,0.5416666666666666,0,1.1666666666666667,0,1
2514,75538,15,1.0,8,1,0.5416666666666666,0,1.6153846153846154,0,0
2515,60320,15,3.0,6,1,0.4583333333333333,0,1.4,0,1
2516,27689,15,3.0,6,2,0.625,0,1.5714285714285714,0,1
2517,82536,15,4.0,8,3,0.625,0,1.2857142857142858,0,1
2518,59566,15,-1.0,-1,-1,0.5833333333333334,0,1.2307692307692308,1,1
2519,93335,15,3.0,7,3,0.5416666666666666,0,1.3333333333333333,0,1
2520,52262,15,-1.0,-1,-1,0.625,0,1.7857142857142858,3,1
2521,22902,15,2.0,8,1,0.75,1,1.9444444444444444,1,0
2522,84281,15,,4,3,0.625,0,1.1428571428571428,0,1
2523,88774,15,1.0,9,1,0.5833333333333334,0,1.2142857142857142,0,0
2524,87728,15,5.0,7,2,0.625,1,1.1428571428571428,0,1
2525,31846,15,1.0,8,1,0.5833333333333334,1,1.2142857142857142,1,0
2526,72329,15,3.0,7,2,0.625,1,1.7857142857142858,0,1
2527,31846,15,1.0,8,1,0.5833333333333334,2,1.2142857142857142,2,0
2528,31846,15,1.0,8,1,0.625,3,1.2142857142857142,2,1
2529,88774,15,1.0,9,1,0.625,1,1.2142857142857142,0,1
2530,75538,15,1.0,8,1,0.5416666666666666,1,1.6153846153846154,0,0
2531,22902,15,2.0,8,1,0.7916666666666666,2,1.9444444444444444,1,1
2532,75538,15,1.0,8,1,0.5416666666666666,2,1.6153846153846154,0,0
2533,93871,16,2.0,2,2,0.6666666666666666,0,1.2,0,1
2534,31208,16,-1.0,-1,-1,0.625,0,1.8666666666666667,1,0
2535,95538,16,-1.0,-1,-1,0.6666666666666666,0,1.1333333333333333,0,1
2536,20020,16,-1.0,-1,-1,0.6666666666666666,0,1.1333333333333333,2,1
2537,30574,16,4.0,10,2,0.5416666666666666,0,1.1666666666666667,0,1
2538,69983,16,,8,1,0.5833333333333334,0,1.1538461538461537,0,1
2539,59566,16,-1.0,-1,-1,0.625,0,1.2142857142857142,1,1
2540,90795,16,-1.0,-1,-1,0.5,0,1.9166666666666667,0,0
2541,80450,16,1.0,7,4,0.6666666666666666,0,1.1333333333333333,0,1
2542,93570,16,-1.0,-1,-1,0.625,0,1.4285714285714286,2,1
2543,72329,16,3.0,7,2,0.625,0,1.8,0,0
2544,87728,16,5.0,7,2,0.6666666666666666,0,1.2,0,1
2545,96812,16,-1.0,-1,-1,0.375,0,1.2222222222222223,0,0
2546,31208,16,-1.0,-1,-1,0.6666666666666666,1,1.8666666666666667,1,1
2547,75538,16,1.0,8,1,0.5833333333333334,0,1.6153846153846154,0,1
2548,12461,16,,10,1,0.6666666666666666,0,1.3333333333333333,0,1
2549,60320,16,3.0,6,1,0.5,0,1.3636363636363635,0,1
2550,27689,16,3.0,6,2,0.6666666666666666,0,1.5333333333333334,0,1
